miliseg,AcX,AcY,AcZ
151620.0,2.73,-6.5,-6.12
151640.0,2.9,-6.7,-6.02
151660.0,2.89,-6.78,-6.01
151680.0,2.79,-6.72,-6.12
151700.0,2.67,-6.95,-5.94
151720.0,2.81,-6.98,-5.93
151740.0,3.01,-6.98,-5.9
151760.0,3.05,-7.01,-5.85
151780.0,2.84,-6.84,-5.97
151800.0,2.74,-6.64,-6.11
151820.0,2.88,-6.7,-6.04
151840.0,2.82,-6.72,-5.92
151860.0,2.71,-6.9,-5.97
151880.0,2.9,-6.97,-5.91
151900.0,2.89,-6.76,-5.84
151920.0,2.78,-6.54,-6.08
151940.0,2.73,-6.8,-6.13
151960.0,2.71,-6.96,-6.02
151980.0,2.85,-6.82,-5.9
152000.0,2.96,-6.85,-5.85
152020.0,2.91,-6.9,-6.03
152040.0,2.76,-6.74,-5.95
152060.0,2.77,-6.9,-5.9
152080.0,2.89,-6.73,-5.88
152100.0,2.74,-6.78,-5.83
152120.0,2.73,-6.82,-5.97
152140.0,2.86,-6.72,-6.04
152160.0,2.79,-6.88,-5.89
152180.0,2.92,-7.0,-5.99
152200.0,3.08,-6.97,-6.11
152220.0,2.85,-6.83,-5.97
152240.0,2.6,-6.74,-5.99
152260.0,2.74,-6.81,-6.04
152280.0,2.93,-6.96,-5.79
152300.0,2.88,-6.71,-5.9
152320.0,2.74,-6.56,-6.03
152340.0,2.67,-7.09,-5.97
152360.0,2.82,-7.16,-5.77
152380.0,2.91,-6.55,-5.82
152400.0,2.86,-6.57,-6.02
152420.0,2.87,-6.9,-5.98
152440.0,2.67,-6.95,-5.83
152460.0,2.77,-6.77,-6.07
152480.0,2.93,-6.79,-6.02
152500.0,2.8,-6.77,-5.86
152520.0,2.68,-6.83,-6.2
152540.0,2.91,-6.91,-6.14
152560.0,2.95,-7.02,-5.7
152580.0,2.86,-6.86,-5.77
152600.0,2.86,-6.81,-6.03
152620.0,2.78,-6.89,-5.99
152640.0,2.65,-6.89,-5.8
152660.0,2.91,-7.07,-5.64
152680.0,2.92,-7.01,-5.84
152700.0,2.93,-6.72,-6.19
152720.0,2.79,-6.9,-5.95
152740.0,2.68,-7.0,-5.78
152760.0,2.77,-6.78,-5.98
152780.0,2.9,-6.79,-6.07
152800.0,2.84,-6.8,-5.93
152820.0,2.82,-6.75,-5.87
